=== economy-table62.xlsx ===
Cell A1 | value='Daily Sales Figures - ALL CAFÉ'S' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10] | col_header=True | row_header=True | metadata=True
Cell K91 | value='1260' | fill=00000000 | rows=[90] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A92 | value='Portsmouth' | fill=00000000 | rows=[91] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B92 | value='706' | fill=00000000 | rows=[91] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C92 | value='687' | fill=00000000 | rows=[91] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D92 | value='817' | fill=00000000 | rows=[91] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E92 | value='735' | fill=00000000 | rows=[91] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F92 | value='693' | fill=00000000 | rows=[91] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G92 | value='1557' | fill=00000000 | rows=[91] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H92 | value='1158' | fill=00000000 | rows=[91] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I92 | value='6353' | fill=00000000 | rows=[91] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J92 | value='6700' | fill=00000000 | rows=[91] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K92 | value='-347' | fill=00000000 | rows=[91] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A93 | value='Gloucester' | fill=00000000 | rows=[92] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B93 | value='614' | fill=00000000 | rows=[92] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C93 | value='706' | fill=00000000 | rows=[92] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D93 | value='635' | fill=00000000 | rows=[92] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E93 | value='593' | fill=00000000 | rows=[92] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F93 | value='918' | fill=00000000 | rows=[92] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G93 | value='1884' | fill=00000000 | rows=[92] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H93 | value='647' | fill=00000000 | rows=[92] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I93 | value='5997' | fill=00000000 | rows=[92] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J93 | value='6300' | fill=00000000 | rows=[92] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K93 | value='-303' | fill=00000000 | rows=[92] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A94 | value='Southend' | fill=00000000 | rows=[93] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B94 | value='1557.09' | fill=00000000 | rows=[93] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C94 | value='1243.28' | fill=00000000 | rows=[93] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D94 | value='1929.66' | fill=00000000 | rows=[93] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E94 | value='1314.09' | fill=00000000 | rows=[93] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F94 | value='2405.96' | fill=00000000 | rows=[93] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G94 | value='4152.18' | fill=00000000 | rows=[93] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H94 | value='2872.06' | fill=00000000 | rows=[93] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I94 | value='15474.32' | fill=00000000 | rows=[93] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J94 | value='16000' | fill=00000000 | rows=[93] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K94 | value='-525.68' | fill=00000000 | rows=[93] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A95 | value='Colchester' | fill=00000000 | rows=[94] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B95 | value='747' | fill=00000000 | rows=[94] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C95 | value='648' | fill=00000000 | rows=[94] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D95 | value='848' | fill=00000000 | rows=[94] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E95 | value='426' | fill=00000000 | rows=[94] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F95 | value='909' | fill=00000000 | rows=[94] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G95 | value='1947' | fill=00000000 | rows=[94] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H95 | value='1033' | fill=00000000 | rows=[94] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I95 | value='6558' | fill=00000000 | rows=[94] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J95 | value='7300' | fill=00000000 | rows=[94] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K95 | value='-742' | fill=00000000 | rows=[94] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A96 | value='Paddington Station' | fill=00000000 | rows=[95] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B96 | value='471' | fill=00000000 | rows=[95] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C96 | value='520' | fill=00000000 | rows=[95] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D96 | value='686' | fill=00000000 | rows=[95] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E96 | value='752' | fill=00000000 | rows=[95] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F96 | value='728' | fill=00000000 | rows=[95] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G96 | value='571' | fill=00000000 | rows=[95] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H96 | value='372' | fill=00000000 | rows=[95] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I96 | value='4100' | fill=00000000 | rows=[95] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J96 | value='5000' | fill=00000000 | rows=[95] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K96 | value='-900' | fill=00000000 | rows=[95] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A97 | value='Euston Station' | fill=00000000 | rows=[96] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B97 | value='1131' | fill=00000000 | rows=[96] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C97 | value='1417' | fill=00000000 | rows=[96] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D97 | value='1466' | fill=00000000 | rows=[96] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E97 | value='1840' | fill=00000000 | rows=[96] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F97 | value='1797' | fill=00000000 | rows=[96] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G97 | value='1358' | fill=00000000 | rows=[96] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H97 | value='522' | fill=00000000 | rows=[96] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I97 | value='9531' | fill=00000000 | rows=[96] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J97 | value='7200' | fill=00000000 | rows=[96] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K97 | value='2331' | fill=00000000 | rows=[96] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A98 | value='Victoria Station' | fill=00000000 | rows=[97] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B98 | value='884' | fill=00000000 | rows=[97] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C98 | value='861' | fill=00000000 | rows=[97] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D98 | value='1073' | fill=00000000 | rows=[97] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E98 | value='1230' | fill=00000000 | rows=[97] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F98 | value='1472' | fill=00000000 | rows=[97] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G98 | value='1169' | fill=00000000 | rows=[97] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H98 | value='564' | fill=00000000 | rows=[97] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I98 | value='7253' | fill=00000000 | rows=[97] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J98 | value='7400' | fill=00000000 | rows=[97] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K98 | value='-147' | fill=00000000 | rows=[97] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A99 | value='Marylebone Station' | fill=00000000 | rows=[98] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B99 | value='1680' | fill=00000000 | rows=[98] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C99 | value='2323' | fill=00000000 | rows=[98] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D99 | value='2421' | fill=00000000 | rows=[98] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E99 | value='2546' | fill=00000000 | rows=[98] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F99 | value='2587' | fill=00000000 | rows=[98] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G99 | value='2034' | fill=00000000 | rows=[98] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H99 | value='1597' | fill=00000000 | rows=[98] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I99 | value='15188' | fill=00000000 | rows=[98] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J99 | value='16800' | fill=00000000 | rows=[98] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K99 | value='-1612' | fill=00000000 | rows=[98] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A100 | value='26 St Pancras Station' | fill=00000000 | rows=[99] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B100 | value='2072' | fill=00000000 | rows=[99] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C100 | value='2032' | fill=00000000 | rows=[99] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D100 | value='2097' | fill=00000000 | rows=[99] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E100 | value='2518' | fill=00000000 | rows=[99] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F100 | value='2747' | fill=00000000 | rows=[99] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G100 | value='2521' | fill=00000000 | rows=[99] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H100 | value='2191' | fill=00000000 | rows=[99] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I100 | value='16178' | fill=00000000 | rows=[99] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J100 | value='15700' | fill=00000000 | rows=[99] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K100 | value='478' | fill=00000000 | rows=[99] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A101 | value='Derby' | fill=00000000 | rows=[100] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B101 | value='1091' | fill=00000000 | rows=[100] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C101 | value='1187' | fill=00000000 | rows=[100] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D101 | value='1170' | fill=00000000 | rows=[100] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E101 | value='1060' | fill=00000000 | rows=[100] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F101 | value='1585' | fill=00000000 | rows=[100] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G101 | value='2564' | fill=00000000 | rows=[100] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H101 | value='1357' | fill=00000000 | rows=[100] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I101 | value='10014' | fill=00000000 | rows=[100] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J101 | value='9100' | fill=00000000 | rows=[100] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K101 | value='914' | fill=00000000 | rows=[100] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A102 | value='George IV Bridge' | fill=00000000 | rows=[101] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B102 | value='824' | fill=00000000 | rows=[101] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C102 | value='656' | fill=00000000 | rows=[101] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D102 | value='634' | fill=00000000 | rows=[101] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E102 | value='665' | fill=00000000 | rows=[101] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F102 | value='859' | fill=00000000 | rows=[101] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G102 | value='1086' | fill=00000000 | rows=[101] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H102 | value='983' | fill=00000000 | rows=[101] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I102 | value='5707' | fill=00000000 | rows=[101] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J102 | value='7500' | fill=00000000 | rows=[101] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K102 | value='-1793' | fill=00000000 | rows=[101] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A103 | value='Leeds St Pauls' | fill=00000000 | rows=[102] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B103 | value='455' | fill=00000000 | rows=[102] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C103 | value='643' | fill=00000000 | rows=[102] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D103 | value='594' | fill=00000000 | rows=[102] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E103 | value='1019' | fill=00000000 | rows=[102] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F103 | value='1004' | fill=00000000 | rows=[102] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G103 | value='968' | fill=00000000 | rows=[102] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H103 | value='750' | fill=00000000 | rows=[102] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I103 | value='5433' | fill=00000000 | rows=[102] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J103 | value='6300' | fill=00000000 | rows=[102] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K103 | value='-867' | fill=00000000 | rows=[102] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A104 | value='Glasgow Central Stn' | fill=00000000 | rows=[103] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B104 | value='766' | fill=00000000 | rows=[103] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C104 | value='666' | fill=00000000 | rows=[103] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D104 | value='593' | fill=00000000 | rows=[103] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E104 | value='765' | fill=00000000 | rows=[103] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F104 | value='472' | fill=00000000 | rows=[103] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G104 | value='653' | fill=00000000 | rows=[103] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H104 | value='360' | fill=00000000 | rows=[103] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I104 | value='4275' | fill=00000000 | rows=[103] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J104 | value='5900' | fill=00000000 | rows=[103] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K104 | value='-1625' | fill=00000000 | rows=[103] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A105 | value='Glasgow West Nile' | fill=00000000 | rows=[104] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B105 | value='1749' | fill=00000000 | rows=[104] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C105 | value='1593' | fill=00000000 | rows=[104] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D105 | value='1540' | fill=00000000 | rows=[104] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E105 | value='1465' | fill=00000000 | rows=[104] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F105 | value='1746' | fill=00000000 | rows=[104] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G105 | value='2554' | fill=00000000 | rows=[104] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H105 | value='1716' | fill=00000000 | rows=[104] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I105 | value='12363' | fill=00000000 | rows=[104] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J105 | value='13700' | fill=00000000 | rows=[104] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K105 | value='-1337' | fill=00000000 | rows=[104] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A106 | value='Woking' | fill=00000000 | rows=[105] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B106 | value='1129' | fill=00000000 | rows=[105] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C106 | value='1209' | fill=00000000 | rows=[105] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D106 | value='1174' | fill=00000000 | rows=[105] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E106 | value='1174' | fill=00000000 | rows=[105] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F106 | value='1343' | fill=00000000 | rows=[105] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G106 | value='2693' | fill=00000000 | rows=[105] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H106 | value='1002' | fill=00000000 | rows=[105] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I106 | value='9724' | fill=00000000 | rows=[105] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J106 | value='10400' | fill=00000000 | rows=[105] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K106 | value='-676' | fill=00000000 | rows=[105] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A107 | value='Aberdeen' | fill=00000000 | rows=[106] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B107 | value='2221' | fill=00000000 | rows=[106] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C107 | value='2406' | fill=00000000 | rows=[106] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D107 | value='2850' | fill=00000000 | rows=[106] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E107 | value='2804' | fill=00000000 | rows=[106] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F107 | value='3048' | fill=00000000 | rows=[106] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G107 | value='4850' | fill=00000000 | rows=[106] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H107 | value='3821' | fill=00000000 | rows=[106] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I107 | value='22000' | fill=00000000 | rows=[106] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J107 | value='31500' | fill=00000000 | rows=[106] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K107 | value='-9500' | fill=00000000 | rows=[106] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A108 | value='Selfridge's Bull Ring' | fill=00000000 | rows=[107] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B108 | value='795.57' | fill=00000000 | rows=[107] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C108 | value='720.64' | fill=00000000 | rows=[107] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D108 | value='759.4' | fill=00000000 | rows=[107] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E108 | value='894' | fill=00000000 | rows=[107] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F108 | value='923.85' | fill=00000000 | rows=[107] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G108 | value='2111.67' | fill=00000000 | rows=[107] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H108 | value='1090.7' | fill=00000000 | rows=[107] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I108 | value='7295.83' | fill=00000000 | rows=[107] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J108 | value='10000' | fill=00000000 | rows=[107] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K108 | value='-2704.17' | fill=00000000 | rows=[107] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A109 | value='Cheltenham PV' | fill=00000000 | rows=[108] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B109 | value='968' | fill=00000000 | rows=[108] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C109 | value='807' | fill=00000000 | rows=[108] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D109 | value='754' | fill=00000000 | rows=[108] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E109 | value='722' | fill=00000000 | rows=[108] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F109 | value='1230' | fill=00000000 | rows=[108] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G109 | value='2448' | fill=00000000 | rows=[108] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H109 | value='1341' | fill=00000000 | rows=[108] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I109 | value='8270' | fill=00000000 | rows=[108] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J109 | value='10000' | fill=00000000 | rows=[108] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K109 | value='-1730' | fill=00000000 | rows=[108] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A110 | value='Edinburgh Fort' | fill=00000000 | rows=[109] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B110 | value='1048' | fill=00000000 | rows=[109] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C110 | value='849' | fill=00000000 | rows=[109] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D110 | value='846' | fill=00000000 | rows=[109] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E110 | value='864' | fill=00000000 | rows=[109] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F110 | value='1184' | fill=00000000 | rows=[109] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G110 | value='1638' | fill=00000000 | rows=[109] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H110 | value='1355' | fill=00000000 | rows=[109] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I110 | value='7784' | fill=00000000 | rows=[109] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J110 | value='11000' | fill=00000000 | rows=[109] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K110 | value='-3216' | fill=00000000 | rows=[109] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A111 | value='Exeter' | fill=00000000 | rows=[110] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B111 | value='1370' | fill=00000000 | rows=[110] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C111 | value='1415' | fill=00000000 | rows=[110] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D111 | value='1430' | fill=00000000 | rows=[110] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E111 | value='1427' | fill=00000000 | rows=[110] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F111 | value='1792' | fill=00000000 | rows=[110] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G111 | value='3307' | fill=00000000 | rows=[110] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H111 | value='1833' | fill=00000000 | rows=[110] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I111 | value='12574' | fill=00000000 | rows=[110] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J111 | value='15000' | fill=00000000 | rows=[110] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K111 | value='-2426' | fill=00000000 | rows=[110] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A112 | value='Shrewsbury' | fill=00000000 | rows=[111] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B112 | value='810' | fill=00000000 | rows=[111] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C112 | value='683' | fill=00000000 | rows=[111] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D112 | value='778' | fill=00000000 | rows=[111] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E112 | value='669' | fill=00000000 | rows=[111] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F112 | value='927' | fill=00000000 | rows=[111] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G112 | value='2225' | fill=00000000 | rows=[111] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H112 | value='708' | fill=00000000 | rows=[111] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I112 | value='6800' | fill=00000000 | rows=[111] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J112 | value='6500' | fill=00000000 | rows=[111] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K112 | value='300' | fill=00000000 | rows=[111] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A113 | value='Beaconsfield' | fill=00000000 | rows=[112] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B113 | value='1868' | fill=00000000 | rows=[112] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C113 | value='1487' | fill=00000000 | rows=[112] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D113 | value='1871' | fill=00000000 | rows=[112] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E113 | value='1966' | fill=00000000 | rows=[112] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F113 | value='2535' | fill=00000000 | rows=[112] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G113 | value='2903' | fill=00000000 | rows=[112] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H113 | value='2822' | fill=00000000 | rows=[112] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I113 | value='15452' | fill=00000000 | rows=[112] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J113 | value='20000' | fill=00000000 | rows=[112] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K113 | value='-4548' | fill=00000000 | rows=[112] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A114 | value='Lakeside' | fill=00000000 | rows=[113] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B114 | value='801' | fill=00000000 | rows=[113] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C114 | value='879' | fill=00000000 | rows=[113] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D114 | value='700' | fill=00000000 | rows=[113] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E114 | value='711' | fill=00000000 | rows=[113] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F114 | value='927' | fill=00000000 | rows=[113] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G114 | value='1994' | fill=00000000 | rows=[113] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H114 | value='1088' | fill=00000000 | rows=[113] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I114 | value='7100' | fill=00000000 | rows=[113] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J114 | value='11000' | fill=00000000 | rows=[113] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K114 | value='-3900' | fill=00000000 | rows=[113] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A115 | value='Ealing' | fill=00000000 | rows=[114] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B115 | value='1161' | fill=00000000 | rows=[114] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C115 | value='1053' | fill=00000000 | rows=[114] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D115 | value='1389' | fill=00000000 | rows=[114] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E115 | value='1122' | fill=00000000 | rows=[114] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F115 | value='1514' | fill=00000000 | rows=[114] | cols=[5] | col_header=False | row_header=False | metadata=False
