=== economy-table75.xlsx ===
Cell A1 | value='PRIORITY' | fill=FFFFFF00 | rows=[0] | cols=[0, 1] | col_header=True | row_header=True | metadata=False
Cell N53 | value='128973.333333333' | fill=00000000 | rows=[52, 53] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O53 | value='0.5' | fill=00000000 | rows=[52, 53] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P53 | value='2632573.33333333' | fill=00000000 | rows=[52, 53] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I54 | value='2013-01-01 00:00:00' | fill=FF92D050 | rows=[53] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A55 | value='2' | fill=00000000 | rows=[54, 55] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B55 | value='2' | fill=00000000 | rows=[54, 55] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C55 | value='NA' | fill=00000000 | rows=[54, 55] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D55 | value='AIR CANADA' | fill=00000000 | rows=[54, 55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E55 | value='TORONTO' | fill=00000000 | rows=[54, 55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F55 | value='SD' | fill=00000000 | rows=[54, 55] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G55 | value='COCKPIT' | fill=00000000 | rows=[54, 55] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H55 | value='A320' | fill=00000000 | rows=[54, 55] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I55 | value='2012-09-01 00:00:00' | fill=22 | rows=[54] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J55 | value='2013-06-01 00:00:00' | fill=22 | rows=[54] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K55 | value='2013-10-01 00:00:00' | fill=22 | rows=[54] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L55 | value='268800' | fill=00000000 | rows=[54, 55] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M55 | value='499200' | fill=00000000 | rows=[54, 55] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N55 | value='0' | fill=00000000 | rows=[54, 55] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O55 | value='0.6' | fill=00000000 | rows=[54, 55] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P55 | value='768000' | fill=00000000 | rows=[54, 55] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I56 | value='2012-09-01 00:00:00' | fill=FF92D050 | rows=[55] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A57 | value='3' | fill=00000000 | rows=[56, 57] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B57 | value='2' | fill=00000000 | rows=[56, 57] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C57 | value='LA' | fill=00000000 | rows=[56, 57] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D57 | value='AEROMEXICO' | fill=00000000 | rows=[56, 57] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E57 | value='MEXICO CITY' | fill=00000000 | rows=[56, 57] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F57 | value='SD' | fill=00000000 | rows=[56, 57] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G57 | value='COCKPIT' | fill=00000000 | rows=[56, 57] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H57 | value='737' | fill=00000000 | rows=[56, 57] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I57 | value='2012-06-01 00:00:00' | fill=None | rows=[56] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J57 | value='2013-06-01 00:00:00' | fill=None | rows=[56] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K57 | value='2013-06-01 00:00:00' | fill=None | rows=[56] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L57 | value='198000' | fill=00000000 | rows=[56, 57] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M57 | value='0' | fill=00000000 | rows=[56, 57] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N57 | value='61200' | fill=00000000 | rows=[56, 57] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O57 | value='0.33' | fill=00000000 | rows=[56, 57] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P57 | value='259200' | fill=00000000 | rows=[56, 57] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I58 | value='2012-06-01 00:00:00' | fill=FF92D050 | rows=[57] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A59 | value='2' | fill=00000000 | rows=[58, 59] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B59 | value='WIN' | fill=00000000 | rows=[58, 59] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C59 | value='LA' | fill=00000000 | rows=[58, 59] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D59 | value='AVIANCA' | fill=00000000 | rows=[58, 59] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E59 | value='BOGOTA' | fill=00000000 | rows=[58, 59] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F59 | value='SD' | fill=00000000 | rows=[58, 59] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G59 | value='COCKPIT' | fill=00000000 | rows=[58, 59] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H59 | value='A320' | fill=00000000 | rows=[58, 59] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I59 | value='2013-01-01 00:00:00' | fill=None | rows=[58] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J59 | value='2013-03-01 00:00:00' | fill=None | rows=[58] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K59 | value='2013-06-01 00:00:00' | fill=None | rows=[58] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L59 | value='105000' | fill=00000000 | rows=[58, 59] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M59 | value='165000' | fill=00000000 | rows=[58, 59] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N59 | value='0' | fill=00000000 | rows=[58, 59] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O59 | value='0.75' | fill=00000000 | rows=[58, 59] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P59 | value='270000' | fill=00000000 | rows=[58, 59] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I60 | value='2013-01-01 00:00:00' | fill=FF92D050 | rows=[59] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J60 | value='2013-02-01 00:00:00' | fill=FF92D050 | rows=[59] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K60 | value='2013-04-01 00:00:00' | fill=FF92D050 | rows=[59] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A61 | value='3' | fill=00000000 | rows=[60, 61] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B61 | value='WIN' | fill=00000000 | rows=[60, 61] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C61 | value='LA' | fill=00000000 | rows=[60, 61] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D61 | value='VOLARIS' | fill=00000000 | rows=[60, 61] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E61 | value='TOLUCA' | fill=00000000 | rows=[60, 61] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F61 | value='SD' | fill=00000000 | rows=[60, 61] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G61 | value='COCKPIT' | fill=00000000 | rows=[60, 61] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H61 | value='A320' | fill=00000000 | rows=[60, 61] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I61 | value='2012-06-01 00:00:00' | fill=None | rows=[60] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J61 | value='2013-06-01 00:00:00' | fill=None | rows=[60] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K61 | value='2013-09-01 00:00:00' | fill=None | rows=[60] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L61 | value='117600' | fill=00000000 | rows=[60, 61] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M61 | value='184800' | fill=00000000 | rows=[60, 61] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N61 | value='0' | fill=00000000 | rows=[60, 61] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O61 | value='0.33' | fill=00000000 | rows=[60, 61] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P61 | value='302400' | fill=00000000 | rows=[60, 61] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I62 | value='2012-06-01 00:00:00' | fill=FF92D050 | rows=[61] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J62 | value='2013-04-01 00:00:00' | fill=FF92D050 | rows=[61] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A63 | value='2' | fill=00000000 | rows=[62, 63] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B63 | value='WIN' | fill=00000000 | rows=[62, 63] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C63 | value='LA' | fill=00000000 | rows=[62, 63] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D63 | value='TACA' | fill=00000000 | rows=[62, 63] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E63 | value='SAN SALVADOR' | fill=00000000 | rows=[62, 63] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F63 | value='SD' | fill=00000000 | rows=[62, 63] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G63 | value='COCKPIT' | fill=00000000 | rows=[62, 63] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H63 | value='A320' | fill=00000000 | rows=[62, 63] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I63 | value='2012-01-01 00:00:00' | fill=None | rows=[62] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J63 | value='2012-01-01 00:00:00' | fill=None | rows=[62] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K63 | value='2012-01-01 00:00:00' | fill=None | rows=[62] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L63 | value='67200' | fill=00000000 | rows=[62, 63] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M63 | value='124800' | fill=00000000 | rows=[62, 63] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N63 | value='0' | fill=00000000 | rows=[62, 63] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O63 | value='1' | fill=00000000 | rows=[62, 63] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P63 | value='192000' | fill=00000000 | rows=[62, 63] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I64 | value='2011-12-01 00:00:00' | fill=FF92D050 | rows=[63] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J64 | value='2011-12-01 00:00:00' | fill=FF92D050 | rows=[63] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K64 | value='2012-01-01 00:00:00' | fill=FF92D050 | rows=[63] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A65 | value='2' | fill=00000000 | rows=[64, 65] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B65 | value='WIN' | fill=00000000 | rows=[64, 65] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C65 | value='LA' | fill=00000000 | rows=[64, 65] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D65 | value='AEROGAL' | fill=00000000 | rows=[64, 65] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E65 | value='ECUADOR' | fill=00000000 | rows=[64, 65] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F65 | value='SD' | fill=00000000 | rows=[64, 65] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G65 | value='COCKPIT' | fill=00000000 | rows=[64, 65] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H65 | value='A320' | fill=00000000 | rows=[64, 65] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I65 | value='2012-01-01 00:00:00' | fill=None | rows=[64] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J65 | value='2012-01-01 00:00:00' | fill=None | rows=[64] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K65 | value='2012-01-01 00:00:00' | fill=None | rows=[64] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L65 | value='22400' | fill=00000000 | rows=[64, 65] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M65 | value='31200' | fill=00000000 | rows=[64, 65] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N65 | value='0' | fill=00000000 | rows=[64, 65] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O65 | value='1' | fill=00000000 | rows=[64, 65] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P65 | value='53600' | fill=00000000 | rows=[64, 65] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I66 | value='2011-12-01 00:00:00' | fill=FF92D050 | rows=[65] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J66 | value='2011-12-01 00:00:00' | fill=FF92D050 | rows=[65] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K66 | value='2012-01-01 00:00:00' | fill=FF92D050 | rows=[65] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A67 | value='2' | fill=00000000 | rows=[66, 67] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B67 | value='WIN' | fill=00000000 | rows=[66, 67] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C67 | value='LA' | fill=00000000 | rows=[66, 67] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D67 | value='AEROLINEAS ARGENTINAS' | fill=00000000 | rows=[66, 67] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E67 | value='BUENOS AIRES' | fill=00000000 | rows=[66, 67] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F67 | value='SD' | fill=00000000 | rows=[66, 67] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G67 | value='COCKPIT' | fill=00000000 | rows=[66, 67] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H67 | value='737' | fill=00000000 | rows=[66, 67] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I67 | value='2012-06-01 00:00:00' | fill=None | rows=[66] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J67 | value='2012-08-01 00:00:00' | fill=None | rows=[66] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K67 | value='2013-01-01 00:00:00' | fill=None | rows=[66] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L67 | value='114400' | fill=00000000 | rows=[66, 67] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M67 | value='0' | fill=00000000 | rows=[66, 67] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N67 | value='17680' | fill=00000000 | rows=[66, 67] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O67 | value='1' | fill=00000000 | rows=[66, 67] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P67 | value='132080' | fill=00000000 | rows=[66, 67] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I68 | value='2012-06-01 00:00:00' | fill=FF92D050 | rows=[67] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J68 | value='2012-06-01 00:00:00' | fill=FF92D050 | rows=[67] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K68 | value='2012-07-01 00:00:00' | fill=FF92D050 | rows=[67] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A69 | value='2' | fill=00000000 | rows=[68, 69] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B69 | value='WIN' | fill=00000000 | rows=[68, 69] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C69 | value='LA' | fill=00000000 | rows=[68, 69] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D69 | value='INTERJET' | fill=00000000 | rows=[68, 69] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E69 | value='TOLUCA' | fill=00000000 | rows=[68, 69] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F69 | value='SD' | fill=00000000 | rows=[68, 69] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G69 | value='COCKPIT' | fill=00000000 | rows=[68, 69] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H69 | value='A320' | fill=00000000 | rows=[68, 69] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I69 | value='2012-06-01 00:00:00' | fill=None | rows=[68] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J69 | value='2012-09-01 00:00:00' | fill=None | rows=[68] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K69 | value='2013-02-01 00:00:00' | fill=None | rows=[68] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L69 | value='77700' | fill=00000000 | rows=[68, 69] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M69 | value='144300' | fill=00000000 | rows=[68, 69] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N69 | value='0' | fill=00000000 | rows=[68, 69] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O69 | value='1' | fill=00000000 | rows=[68, 69] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P69 | value='222000' | fill=00000000 | rows=[68, 69] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I70 | value='2012-06-01 00:00:00' | fill=FF92D050 | rows=[69] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J70 | value='2012-10-01 00:00:00' | fill=FFFFC000 | rows=[69] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K70 | value='2012-12-01 00:00:00' | fill=FF92D050 | rows=[69] | cols=[10] | col_header=False | row_header=False | metadata=False

