=== economy-table28.xlsx ===
Cell B1 | value='Fossil Fuel Support - Netherlands' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C120 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[119] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D120 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[119] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E120 | value='Petroleum' | fill=FFE2F2FB | rows=[119] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B121 | value='Temporary reduction on petrol excise taxes (ID 716)' | fill=FFE2F2FB | rows=[120] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C121 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[120] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D121 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[120] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E121 | value='·  Motor gasoline excl. biofuels' | fill=FFE2F2FB | rows=[120] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F121 | value='Total economy' | fill=FFE2F2FB | rows=[120] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B122 | value='Temporary reduction on petrol excise taxes (ID 716)' | fill=FFE2F2FB | rows=[121] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C122 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[121] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D122 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[121] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E122 | value='·  Motor gasoline excl. biofuels' | fill=FFE2F2FB | rows=[121] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F122 | value='·  General government' | fill=FFE2F2FB | rows=[121] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B123 | value='Temporary reduction on petrol excise taxes (ID 716)' | fill=FFE2F2FB | rows=[122] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C123 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[122] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D123 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[122] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E123 | value='·  Motor gasoline excl. biofuels' | fill=FFE2F2FB | rows=[122] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F123 | value='·  ·  Local government' | fill=FFE2F2FB | rows=[122] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H123 | value='..' | fill=00000000 | rows=[122] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I123 | value='..' | fill=00000000 | rows=[122] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J123 | value='..' | fill=00000000 | rows=[122] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K123 | value='..' | fill=00000000 | rows=[122] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L123 | value='..' | fill=00000000 | rows=[122] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M123 | value='..' | fill=00000000 | rows=[122] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N123 | value='..' | fill=00000000 | rows=[122] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O123 | value='..' | fill=00000000 | rows=[122] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P123 | value='..' | fill=00000000 | rows=[122] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q123 | value='..' | fill=00000000 | rows=[122] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R123 | value='..' | fill=00000000 | rows=[122] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S123 | value='..' | fill=00000000 | rows=[122] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T123 | value='1700000' | fill=00000000 | rows=[122] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U123 | value='..' | fill=00000000 | rows=[122] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B124 | value='Temporary reduction in fuel excise duty (ID 718)' | fill=FFE2F2FB | rows=[123] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C124 | value='Total' | fill=FFE2F2FB | rows=[123] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B125 | value='Temporary reduction in fuel excise duty (ID 718)' | fill=FFE2F2FB | rows=[124] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C125 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[124] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B126 | value='Temporary reduction in fuel excise duty (ID 718)' | fill=FFE2F2FB | rows=[125] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C126 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[125] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D126 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[125] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E126 | value='Petroleum' | fill=FFE2F2FB | rows=[125] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B127 | value='Temporary reduction in fuel excise duty (ID 718)' | fill=FFE2F2FB | rows=[126] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C127 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[126] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D127 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[126] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E127 | value='·  Motor gasoline excl. biofuels' | fill=FFE2F2FB | rows=[126] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F127 | value='Total economy' | fill=FFE2F2FB | rows=[126] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B128 | value='Temporary reduction in fuel excise duty (ID 718)' | fill=FFE2F2FB | rows=[127] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C128 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[127] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D128 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[127] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E128 | value='·  Motor gasoline excl. biofuels' | fill=FFE2F2FB | rows=[127] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F128 | value='·  General government' | fill=FFE2F2FB | rows=[127] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B129 | value='Temporary reduction in fuel excise duty (ID 718)' | fill=FFE2F2FB | rows=[128] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C129 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[128] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D129 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[128] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E129 | value='·  Motor gasoline excl. biofuels' | fill=FFE2F2FB | rows=[128] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F129 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[128] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H129 | value='..' | fill=00000000 | rows=[128] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I129 | value='..' | fill=00000000 | rows=[128] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J129 | value='..' | fill=00000000 | rows=[128] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K129 | value='..' | fill=00000000 | rows=[128] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L129 | value='..' | fill=00000000 | rows=[128] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M129 | value='..' | fill=00000000 | rows=[128] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N129 | value='..' | fill=00000000 | rows=[128] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O129 | value='..' | fill=00000000 | rows=[128] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P129 | value='..' | fill=00000000 | rows=[128] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q129 | value='..' | fill=00000000 | rows=[128] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R129 | value='..' | fill=00000000 | rows=[128] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S129 | value='..' | fill=00000000 | rows=[128] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T129 | value='..' | fill=00000000 | rows=[128] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U129 | value='..' | fill=00000000 | rows=[128] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B130 | value='Temporary reduction in fuel excise duty (ID 718)' | fill=FFE2F2FB | rows=[129] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C130 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[129] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D130 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[129] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E130 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[129] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F130 | value='Total economy' | fill=FFE2F2FB | rows=[129] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B131 | value='Temporary reduction in fuel excise duty (ID 718)' | fill=FFE2F2FB | rows=[130] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C131 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[130] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D131 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[130] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E131 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[130] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F131 | value='·  General government' | fill=FFE2F2FB | rows=[130] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B132 | value='Temporary reduction in fuel excise duty (ID 718)' | fill=FFE2F2FB | rows=[131] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C132 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[131] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D132 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[131] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E132 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[131] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F132 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[131] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H132 | value='..' | fill=00000000 | rows=[131] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I132 | value='..' | fill=00000000 | rows=[131] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J132 | value='..' | fill=00000000 | rows=[131] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K132 | value='..' | fill=00000000 | rows=[131] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L132 | value='..' | fill=00000000 | rows=[131] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M132 | value='..' | fill=00000000 | rows=[131] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N132 | value='..' | fill=00000000 | rows=[131] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O132 | value='..' | fill=00000000 | rows=[131] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P132 | value='..' | fill=00000000 | rows=[131] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q132 | value='..' | fill=00000000 | rows=[131] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R132 | value='..' | fill=00000000 | rows=[131] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S132 | value='..' | fill=00000000 | rows=[131] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T132 | value='..' | fill=00000000 | rows=[131] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U132 | value='..' | fill=00000000 | rows=[131] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B133 | value='Energy tax cuts for households (ID 722)' | fill=FFE2F2FB | rows=[132] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C133 | value='Total' | fill=FFE2F2FB | rows=[132] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B134 | value='Energy tax cuts for households (ID 722)' | fill=FFE2F2FB | rows=[133] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C134 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[133] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B135 | value='Energy tax cuts for households (ID 722)' | fill=FFE2F2FB | rows=[134] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C135 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[134] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D135 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[134] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E135 | value='Natural Gas' | fill=FFE2F2FB | rows=[134] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F135 | value='Total economy' | fill=FFE2F2FB | rows=[134] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B136 | value='Energy tax cuts for households (ID 722)' | fill=FFE2F2FB | rows=[135] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C136 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[135] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D136 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[135] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E136 | value='Natural Gas' | fill=FFE2F2FB | rows=[135] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F136 | value='·  General government' | fill=FFE2F2FB | rows=[135] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B137 | value='Energy tax cuts for households (ID 722)' | fill=FFE2F2FB | rows=[136] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C137 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[136] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D137 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[136] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E137 | value='Natural Gas' | fill=FFE2F2FB | rows=[136] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F137 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[136] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H137 | value='..' | fill=00000000 | rows=[136] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I137 | value='..' | fill=00000000 | rows=[136] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J137 | value='..' | fill=00000000 | rows=[136] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K137 | value='..' | fill=00000000 | rows=[136] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L137 | value='..' | fill=00000000 | rows=[136] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M137 | value='..' | fill=00000000 | rows=[136] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N137 | value='..' | fill=00000000 | rows=[136] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O137 | value='..' | fill=00000000 | rows=[136] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P137 | value='..' | fill=00000000 | rows=[136] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q137 | value='..' | fill=00000000 | rows=[136] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R137 | value='..' | fill=00000000 | rows=[136] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S137 | value='..' | fill=00000000 | rows=[136] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T137 | value='2512592933' | fill=00000000 | rows=[136] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U137 | value='..' | fill=00000000 | rows=[136] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B138 | value='Energy tax cuts for households (ID 722)' | fill=FFE2F2FB | rows=[137] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C138 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[137] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D138 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[137] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E138 | value='End-use electricity' | fill=FFE2F2FB | rows=[137] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F138 | value='Total economy' | fill=FFE2F2FB | rows=[137] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B139 | value='Energy tax cuts for households (ID 722)' | fill=FFE2F2FB | rows=[138] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C139 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[138] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D139 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[138] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E139 | value='End-use electricity' | fill=FFE2F2FB | rows=[138] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F139 | value='·  General government' | fill=FFE2F2FB | rows=[138] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B140 | value='Energy tax cuts for households (ID 722)' | fill=FFE2F2FB | rows=[139] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C140 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[139] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D140 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[139] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E140 | value='End-use electricity' | fill=FFE2F2FB | rows=[139] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F140 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[139] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H140 | value='..' | fill=00000000 | rows=[139] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I140 | value='..' | fill=00000000 | rows=[139] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J140 | value='..' | fill=00000000 | rows=[139] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K140 | value='..' | fill=00000000 | rows=[139] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L140 | value='..' | fill=00000000 | rows=[139] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M140 | value='..' | fill=00000000 | rows=[139] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N140 | value='..' | fill=00000000 | rows=[139] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O140 | value='..' | fill=00000000 | rows=[139] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P140 | value='..' | fill=00000000 | rows=[139] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q140 | value='..' | fill=00000000 | rows=[139] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R140 | value='..' | fill=00000000 | rows=[139] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S140 | value='..' | fill=00000000 | rows=[139] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T140 | value='391669462' | fill=00000000 | rows=[139] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U140 | value='..' | fill=00000000 | rows=[139] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B141 | value='Reduction value-added tax on energy (ID 723)' | fill=FFE2F2FB | rows=[140] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C141 | value='Total' | fill=FFE2F2FB | rows=[140] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B142 | value='Reduction value-added tax on energy (ID 723)' | fill=FFE2F2FB | rows=[141] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C142 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[141] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B143 | value='Reduction value-added tax on energy (ID 723)' | fill=FFE2F2FB | rows=[142] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C143 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[142] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D143 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[142] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E143 | value='Natural Gas' | fill=FFE2F2FB | rows=[142] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F143 | value='Total economy' | fill=FFE2F2FB | rows=[142] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B144 | value='Reduction value-added tax on energy (ID 723)' | fill=FFE2F2FB | rows=[143] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C144 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[143] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D144 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[143] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E144 | value='Natural Gas' | fill=FFE2F2FB | rows=[143] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F144 | value='·  General government' | fill=FFE2F2FB | rows=[143] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B145 | value='Reduction value-added tax on energy (ID 723)' | fill=FFE2F2FB | rows=[144] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C145 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[144] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D145 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[144] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E145 | value='Natural Gas' | fill=FFE2F2FB | rows=[144] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F145 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[144] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H145 | value='..' | fill=00000000 | rows=[144] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I145 | value='..' | fill=00000000 | rows=[144] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J145 | value='..' | fill=00000000 | rows=[144] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K145 | value='..' | fill=00000000 | rows=[144] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L145 | value='..' | fill=00000000 | rows=[144] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M145 | value='..' | fill=00000000 | rows=[144] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N145 | value='..' | fill=00000000 | rows=[144] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O145 | value='..' | fill=00000000 | rows=[144] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P145 | value='..' | fill=00000000 | rows=[144] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q145 | value='..' | fill=00000000 | rows=[144] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R145 | value='..' | fill=00000000 | rows=[144] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S145 | value='..' | fill=00000000 | rows=[144] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T145 | value='2198518816' | fill=00000000 | rows=[144] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U145 | value='..' | fill=00000000 | rows=[144] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B146 | value='Reduction value-added tax on energy (ID 723)' | fill=FFE2F2FB | rows=[145] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C146 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[145] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D146 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[145] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E146 | value='End-use electricity' | fill=FFE2F2FB | rows=[145] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F146 | value='Total economy' | fill=FFE2F2FB | rows=[145] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B147 | value='Reduction value-added tax on energy (ID 723)' | fill=FFE2F2FB | rows=[146] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C147 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[146] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D147 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[146] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E147 | value='End-use electricity' | fill=FFE2F2FB | rows=[146] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F147 | value='·  General government' | fill=FFE2F2FB | rows=[146] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B148 | value='Reduction value-added tax on energy (ID 723)' | fill=FFE2F2FB | rows=[147] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C148 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[147] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D148 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[147] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E148 | value='End-use electricity' | fill=FFE2F2FB | rows=[147] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F148 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[147] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H148 | value='..' | fill=00000000 | rows=[147] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I148 | value='..' | fill=00000000 | rows=[147] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J148 | value='..' | fill=00000000 | rows=[147] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K148 | value='..' | fill=00000000 | rows=[147] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L148 | value='..' | fill=00000000 | rows=[147] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M148 | value='..' | fill=00000000 | rows=[147] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N148 | value='..' | fill=00000000 | rows=[147] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O148 | value='..' | fill=00000000 | rows=[147] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P148 | value='..' | fill=00000000 | rows=[147] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q148 | value='..' | fill=00000000 | rows=[147] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R148 | value='..' | fill=00000000 | rows=[147] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S148 | value='..' | fill=00000000 | rows=[147] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T148 | value='342710779' | fill=00000000 | rows=[147] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U148 | value='..' | fill=00000000 | rows=[147] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B149 | value='Energy tax reduction (fixed amount per electricity connection)' | fill=FFE2F2FB | rows=[148] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C149 | value='Total' | fill=FFE2F2FB | rows=[148] | cols=[2] | col_header=False | row_header=False | metadata=False
